"date","team","rating","rank","display_rating"
"2026-05-07","青山学院",1904.164016076312,1,65.9
"2026-05-07","國學院",1816.801362337574,2,62.4
"2026-05-07","亜細亜",1790.9981590889531,3,61.4
"2026-04-29","専修",1773.3886084585383,4,60.7
"2026-05-07","東洋",1772.0050750529042,5,60.7
"2026-05-07","立正",1740.3520864190848,6,59.4
"2026-05-07","中央",1730.287285403124,7,59
"2026-06-24","駒澤",1687.2240489330711,8,57.4
"2026-06-24","日本大学",1650.7043184272545,9,55.9
"2026-05-04","明治",1643.8227571062437,10,55.7
"2026-04-29","拓殖",1614.8473413159118,11,54.5
"2026-05-03","慶應",1552.6523581119393,12,52.1
"2026-04-30","帝京平成",1527.5448491343682,13,51.1
"2026-06-19","国士舘",1527.4285764769697,14,51.1
"2026-05-10","早稲田",1520.9840754426423,15,50.8
"2026-05-10","法政",1520.8984547324658,16,50.8
"2026-04-29","東農大",1512.302126605519,17,50.5
"2026-05-09","大正",1499.8748767209333,18,50
"2026-05-10","立教",1464.6150192265006,19,48.6
"2026-06-19","成蹊",1363.9753824580782,20,44.7
"2026-05-10","学習院",1333.9561689269458,21,43.5
"2026-05-09","上智",1314.8120160396452,22,42.7
"2026-05-10","東大",1297.027335380209,23,42
"2026-06-19","順天堂",1272.5608974994059,24,41.1
"2026-06-19","一橋",1176.7702380947712,25,37.3
"2026-05-10","芝浦工大",1044.2357762988252,26,32.1
"2026-05-10","東京都市",1005.60969846006,27,30.6
"2026-05-10","東京科学",940.1570917717501,28,28
